Isolate;Biofilm; Elastase; Protease; Pyocyanin
19;1;1;0;0
51;1;0;0;0
64;1;1;0;1
72;1;0;1;0
73;1;0;0;0
77;1;1;1;0
30;0;1;0;0
32;0;1;0;0
33;0;1;0;0
53;0;1;0;0
54;0;1;0;0
55;0;1;0;0
56;0;1;0;0
57;0;1;0;1
59;0;1;0;0
62;0;1;0;0
63;0;1;0;0
67;0;1;0;0
68;0;1;0;1
70;0;1;1;0
75;0;1;0;0
50;0;0;1;0
71;0;0;1;0
27;0;0;0;1
31;0;0;0;1
51;0;0;0;1
79;0;0;0;1
